school_name,state,level,ownership,student_count,teacher_count,latitude,longitude,ward_code,address
Muhda Primary School,AD,Primary,Public,,,10.190825,13.240736,ADSGYL07,"Muhda Primary School, AD State, Nigeria"
Dakau Primary School,AD,Primary,Public,,,8.177709,11.970765,ADSTNG05,"Dakau Primary School, AD State, Nigeria"
Bulma Primary School,AD,Primary,Public,,,10.214025,13.357728,ADSGYL08,"Bulma Primary School, AD State, Nigeria"
Limawa Primary School,AD,Primary,Public,,,9.285299,12.4615543,ADSYLN07,"Limawa Primary School, AD State, Nigeria"
Zobodo Primary School Bafyau I,AD,Primary,Public,,,9.59515,11.84824,ADSLMR01,"Zobodo Primary School Bafyau I, AD State, Nigeria"
Morro Primary School,AD,Primary,Public,,,9.505706,12.274894,ADSDSA02,"Morro Primary School, AD State, Nigeria"
Kanjang Primary School,AD,Primary,Public,,,9.001957,11.92599,ADSMWA12,"Kanjang Primary School, AD State, Nigeria"
Hamalaire Primary School,AD,Primary,Public,,,8.88533,12.229074,ADSFUR06,"Hamalaire Primary School, AD State, Nigeria"
St Thomas Nursery and Primary School,AD,Primary,Faith Based,,,10.2644,13.28878,ADSGYL04,"St Thomas Nursery and Primary School, AD State, Nigeria"
Bakuru Kindam Primary School,AD,Primary,Public,,,9.348547,12.105272,ADSDSA06,"Bakuru Kindam Primary School, AD State, Nigeria"
Didango Primary School Didango,AD,Primary,Public,,,9.744506,12.608643,ADSSNG08,"Didango Primary School Didango, AD State, Nigeria"
Malkohi Prmary School,AD,Primary,Public,,,9.189686,12.375547,ADSYLA08,"Malkohi Prmary School, AD State, Nigeria"
Fadama Reke Primary School,AD,Primary,Public,,,10.228943,12.972699,ADSHNG01,"Fadama Reke Primary School, AD State, Nigeria"
Labbare Primary School,AD,Primary,Public,,,9.119771,12.056478,ADSMWA10,"Labbare Primary School, AD State, Nigeria"
Gang Subeni Primary School,AD,Primary,Public,,,8.6508437,11.780962,ADSMWA03,"Gang Subeni Primary School, AD State, Nigeria"
Delengi Primary School,AD,Primary,Public,,,8.6760645,12.588981,ADSJAD04,"Delengi Primary School, AD State, Nigeria"
Sampa Primary School,AD,Primary,Public,,,8.66625,12.504659,ADSJAD07,"Sampa Primary School, AD State, Nigeria"
Rico Primary School,AD,Primary,Public,,,9.3131897,12.769862,ADSFUR08,"Rico Primary School, AD State, Nigeria"
Golantaba Primary School,AD,Primary,Public,,,10.030255,12.66185,ADSSNG06,"Golantaba Primary School, AD State, Nigeria"
Haske Baptist Nursery,AD,Primary,Private,,,9.210912,12.470463,ADSYLA05,"Haske Baptist Nursery, AD State, Nigeria"
Hursaa Primary School,AD,Primary,Public,,,10.034278,12.346278,ADSGMB02,"Hursaa Primary School, AD State, Nigeria"
Chikito Primary School,AD,Primary,Public,,,9.245174,12.868807,ADSFUR04,"Chikito Primary School, AD State, Nigeria"
Bengo Primary School,AD,Primary,Public,,,9.4132463,12.7235213,ADSFUR07,"Bengo Primary School, AD State, Nigeria"
Kwallia Primary School Kwalia,AD,Primary,Public,,,10.67383,13.37065,ADSMCH13,"Kwallia Primary School Kwalia, AD State, Nigeria"
Mutunku Primary School,AD,Primary,Public,,,10.3156216,12.9711811,ADSHNG01,"Mutunku Primary School, AD State, Nigeria"
M Gari Primary School,AD,Primary,Public,,,9.99958,13.213119,ADSMAH04,"M Gari Primary School, AD State, Nigeria"
Ardo H Tukur Primary School,AD,Primary,Public,,,9.221551,12.650181,ADSFUR03,"Ardo H Tukur Primary School, AD State, Nigeria"
Alajire Primary School,AD,Primary,Public,,,9.187156,12.704183,ADSFUR01,"Alajire Primary School, AD State, Nigeria"
Police Children School,AD,Primary,Public,,,9.2575757,12.4540046,ADSYLN06,"Police Children School, AD State, Nigeria"
Pola Takko Primary School,AD,Primary,Public,,,8.662686,11.887755,ADSMWA03,"Pola Takko Primary School, AD State, Nigeria"
Atiku Abubakar Islamiya Primary School,AD,Primary,Private,,,8.577732,12.379826,ADSJAD11,"Atiku Abubakar Islamiya Primary School, AD State, Nigeria"
Sukul Settlement Primary School,AD,Primary,Public,,,10.876266,13.608678,ADSMDG01,"Sukul Settlement Primary School, AD State, Nigeria"
Kamsu Primary School,AD,Primary,Public,,,10.288872,12.375595,ADSGMB04,"Kamsu Primary School, AD State, Nigeria"
Lutheran Church of Christ Nigeria Nursery and Primary School,AD,Primary,Private,,,10.156694,12.736262,ADSGMB07,"Lutheran Church of Christ Nigeria Nursery and Primary School, AD State, Nigeria"
Modibbo Lawal Nursery Primary School Giret,AD,Primary,Public,,,9.36227,12.54169,ADSGRE04,"Modibbo Lawal Nursery Primary School Giret, AD State, Nigeria"
Unity Primary School,AD,Primary,Public,,,10.163709,12.737877,ADSGMB06,"Unity Primary School, AD State, Nigeria"
Sammeri Primary School,AD,Primary,Public,,,8.42954,11.951722,ADSGAN05,"Sammeri Primary School, AD State, Nigeria"
Amdur Primary School,AD,Primary,Public,,,10.079255,12.545916,ADSGMB03,"Amdur Primary School, AD State, Nigeria"
Kalajanga Primary School,AD,Primary,Public,,,9.240068,12.208695,ADSMWA09,"Kalajanga Primary School, AD State, Nigeria"
Dimdima Primary School,AD,Primary,Public,,,9.782112,12.414592,ADSSNG02,"Dimdima Primary School, AD State, Nigeria"
Model Islamiya Primary School,AD,Primary,Private,,,8.4401889,12.0520039,ADSGAN03,"Model Islamiya Primary School, AD State, Nigeria"
Batal Primary School,AD,Primary,Public,,,8.334856,12.055701,ADSGAN08,"Batal Primary School, AD State, Nigeria"
Sabon Pegi Primary School,AD,Primary,Public,,,9.543461,12.017557,ADSNUM01,"Sabon Pegi Primary School, AD State, Nigeria"
Kunteri Primary School,AD,Primary,Public,,,9.538193,12.215642,ADSDSA02,"Kunteri Primary School, AD State, Nigeria"
Mbulo Primary School,AD,Primary,Public,,,8.643632,12.01958,ADSJAD09,"Mbulo Primary School, AD State, Nigeria"
Waduku Primary School,AD,Primary,Public,,,9.508872,11.645575,ADSLMR10,"Waduku Primary School, AD State, Nigeria"
Pudozambun Primary School,AD,Primary,Public,,,9.433148,11.896729,ADSDSA05,"Pudozambun Primary School, AD State, Nigeria"
Eyn Nursery and Primary School Gimma,AD,Primary,Private,,,10.261053,13.239105,ADSGYL06,"Eyn Nursery and Primary School Gimma, AD State, Nigeria"
Kudori Primary School,AD,Primary,Public,,,8.022643,11.5383,ADSTNG07,"Kudori Primary School, AD State, Nigeria"
Gashaka Primary School,AD,Primary,Public,,,10.170322,12.97516,ADSHNG11,"Gashaka Primary School, AD State, Nigeria"
Nzumosu Primary School,AD,Primary,Public,,,9.383729,11.625184,ADSNUM02,"Nzumosu Primary School, AD State, Nigeria"
Pella Islamiya Primary,AD,Primary,Public,,,10.155438,12.925905,ADSHNG11,"Pella Islamiya Primary, AD State, Nigeria"
Abu Ayyub Primary School,AD,Primary,Private,,,10.277068,13.276151,ADSMUB05,"Abu Ayyub Primary School, AD State, Nigeria"
Bahuli Primary,AD,Primary,Public,,,10.249285,13.404485,ADSMUB01,"Bahuli Primary, AD State, Nigeria"
Jumbul Primary School,AD,Primary,Public,,,9.877157,12.022484,ADSSHG05,"Jumbul Primary School, AD State, Nigeria"
Mbilla Primary School,AD,Primary,Public,,,9.08528,12.072856,ADSMWA10,"Mbilla Primary School, AD State, Nigeria"
Dwam II Primary School,AD,Primary,Public,,,9.457984,12.07521,ADSDSA06,"Dwam II Primary School, AD State, Nigeria"
Durbishi Primary School,AD,Primary,Public,,,10.197805,13.407848,ADSGYL01,"Durbishi Primary School, AD State, Nigeria"
LGEA Primary School Bollere,AD,Primary,Public,,,9.506555,11.46667,ADSLMR09,"LGEA Primary School Bollere, AD State, Nigeria"
Bosivani Primary School,AD,Primary,Public,,,8.7993711,12.484508,ADSFUR05,"Bosivani Primary School, AD State, Nigeria"
Jau Primary School,AD,Primary,Public,,,10.374411,12.59867,ADSGMB08,"Jau Primary School, AD State, Nigeria"
Gwakta Primary School,AD,Primary,Public,,,9.949879,12.193819,ADSSHG02,"Gwakta Primary School, AD State, Nigeria"
Bankam Primary School,AD,Primary,Public,,,9.542129,12.285402,ADSSNG09,"Bankam Primary School, AD State, Nigeria"
Fwa Primary School Fwa,AD,Primary,Public,,,10.5829,13.23722,ADSMCH01,"Fwa Primary School Fwa, AD State, Nigeria"
Ponduwe II Primary School,AD,Primary,Public,,,9.724185,11.925165,ADSGUY08,"Ponduwe II Primary School, AD State, Nigeria"
St John Primary School,AD,Primary,Private,,,9.277246,12.463702,ADSYLN04,"St John Primary School, AD State, Nigeria"
Ilimi Nursery and Primary School,AD,Primary,Private,,,9.684621,11.999506,ADSSHG07,"Ilimi Nursery and Primary School, AD State, Nigeria"
Zangra Primary School,AD,Primary,Public,,,10.025728,12.44597,ADSGMB01,"Zangra Primary School, AD State, Nigeria"
Bonen Danki Primary School,AD,Primary,Public,,,8.298401,11.618374,ADSTNG01,"Bonen Danki Primary School, AD State, Nigeria"
Gwargwayel Afilliate Primary School,AD,Primary,Public,,,9.975696,12.335776,ADSGMB02,"Gwargwayel Afilliate Primary School, AD State, Nigeria"
Gang Audu Primary School,AD,Primary,Public,,,8.442749,12.108714,ADSGAN04,"Gang Audu Primary School, AD State, Nigeria"
Washi Primary Shcool,AD,Primary,Public,,,8.462565,11.709224,ADSTNG01,"Washi Primary Shcool, AD State, Nigeria"
Garin Tuwo,AD,Primary,Public,,,9.819217,12.576261,ADSSNG03,"Garin Tuwo, AD State, Nigeria"
Jang Primary School Michika,AD,Primary,Public,,,10.64111,13.379092,ADSMCH07,"Jang Primary School Michika, AD State, Nigeria"
Dingai Primary School,AD,Primary,Public,,,10.128257,12.339405,ADSGMB01,"Dingai Primary School, AD State, Nigeria"
Kubi Primary School,AD,Primary,Public,,,10.665583,13.303856,ADSMCH05,"Kubi Primary School, AD State, Nigeria"
Maliki Primary School,AD,Primary,Public,,,9.375028,12.093106,ADSDSA06,"Maliki Primary School, AD State, Nigeria"
Gangjamdi Primary School,AD,Primary,Public,,,8.477438,12.059083,ADSJAD01,"Gangjamdi Primary School, AD State, Nigeria"
Bajabu Primary School,AD,Primary,Public,,,8.667482,12.319306,ADSJAD11,"Bajabu Primary School, AD State, Nigeria"
Anwaru Islam,AD,Primary,Private,,,9.471026,12.029363,ADSNUM08,"Anwaru Islam, AD State, Nigeria"
Yembware Primary School,AD,Primary,Public,,,9.597223,11.490447,ADSLMR09,"Yembware Primary School, AD State, Nigeria"
Muchalla Primary School,AD,Primary,Public,,,10.124002,12.70833,ADSGMB09,"Muchalla Primary School, AD State, Nigeria"
Bangda Primary School,AD,Primary,Public,,,10.211858,12.211233,ADSSHG04,"Bangda Primary School, AD State, Nigeria"
Muni Primary School,AD,Primary,Public,,,10.605209,13.395112,ADSMCH09,"Muni Primary School, AD State, Nigeria"
Banner Christian Nursery and Primary School,AD,Primary,Public,,,9.233839,12.462202,ADSYLN04,"Banner Christian Nursery and Primary School, AD State, Nigeria"
Arnaddo Debbo Primary School,AD,Primary,Public,,,8.409062,12.058861,ADSGAN08,"Arnaddo Debbo Primary School, AD State, Nigeria"
Tudun Wada Primary School,AD,Primary,Public,,,10.5901,13.3491,ADSMCH04,"Tudun Wada Primary School, AD State, Nigeria"
Bongo Primary Song Bongo Gari,AD,Primary,Public,,,9.811307,12.615676,ADSSNG07,"Bongo Primary Song Bongo Gari, AD State, Nigeria"
Nassarawa Jerreng Primary School,AD,Primary,Public,,,8.962429,11.895116,ADSMWA06,"Nassarawa Jerreng Primary School, AD State, Nigeria"
Watu Primary School,AD,Primary,Public,,,10.607736,13.370585,ADSMCH05,"Watu Primary School, AD State, Nigeria"
Contentment Nursery and Primary School,AD,Primary,Private,,,10.243209,13.0230473,ADSHNG01,"Contentment Nursery and Primary School, AD State, Nigeria"
Daburum Primary School,AD,Primary,Public,,,8.609865,11.983878,ADSGAN10,"Daburum Primary School, AD State, Nigeria"
Nurul Ulum Academy,AD,Primary,Private,,,9.047526,12.054046,ADSMWA08,"Nurul Ulum Academy, AD State, Nigeria"
Mutuku Sida Primary School,AD,Primary,Public,,,10.315615,12.971619,ADSHNG01,"Mutuku Sida Primary School, AD State, Nigeria"
Dwam I Primary School,AD,Primary,Public,,,9.463382,12.089603,ADSDSA06,"Dwam I Primary School, AD State, Nigeria"
Parijo Primary School,AD,Primary,Public,,,10.283615,12.720699,ADSGMB08,"Parijo Primary School, AD State, Nigeria"
Hurkwene Primary School,AD,Primary,Public,,,10.061031,12.447439,ADSGMB01,"Hurkwene Primary School, AD State, Nigeria"
Nomadic Primary School Dongo Fulani,AD,Primary,Public,,,10.2326702,12.7192827,ADSGMB08,"Nomadic Primary School Dongo Fulani, AD State, Nigeria"
Tali Koma Primary School,AD,Primary,Public,,,8.7960122,12.4465403,ADSFUR05,"Tali Koma Primary School, AD State, Nigeria"
Sabana Primary School,AD,Primary,Public,,,9.322943,12.229719,ADSYLA11,"Sabana Primary School, AD State, Nigeria"
Majekin Primary School,AD,Primary,Public,,,10.033925,13.13391,ADSMAH05,"Majekin Primary School, AD State, Nigeria"
Zah Primary School,AD,Primary,Public,,,10.410593,12.743068,ADSHNG03,"Zah Primary School, AD State, Nigeria"
Gozefan Primary School,AD,Primary,Public,,,9.312566,11.601725,ADSNUM02,"Gozefan Primary School, AD State, Nigeria"
Wajah Islame Primary School,AD,Primary,Public,,,10.2356962,12.9196898,ADSHNG06,"Wajah Islame Primary School, AD State, Nigeria"
Bajaule Primary School,AD,Primary,Public,,,10.167274,13.225923,ADSGYL10,"Bajaule Primary School, AD State, Nigeria"
Basic Nursery and Primary School,AD,Primary,Private,,,9.295906,12.235752,ADSYLA09,"Basic Nursery and Primary School, AD State, Nigeria"
Kolwa Primary School,AD,Primary,Public,,,9.934198,13.176447,ADSMAH08,"Kolwa Primary School, AD State, Nigeria"
Sabewa Primary School,AD,Primary,Public,,,9.571547,12.070341,ADSDSA04,"Sabewa Primary School, AD State, Nigeria"
Dubai Nomadic School,AD,Primary,Public,,,10.117388,12.337911,ADSGMB01,"Dubai Nomadic School, AD State, Nigeria"
Bole I Primary School,AD,Primary,Public,,,9.122106,12.462805,ADSYLA03,"Bole I Primary School, AD State, Nigeria"
Kopali Primary School,AD,Primary,Public,,,10.47181,13.367589,ADSMUB07,"Kopali Primary School, AD State, Nigeria"
Federal Government College Staff Nursery and Primary School,AD,Primary,Private,,,8.461726,12.053775,ADSGAN04,"Federal Government College Staff Nursery and Primary School, AD State, Nigeria"
Karewa Primary School,AD,Primary,Public,,,9.2470641,12.4447417,ADSYLN06,"Karewa Primary School, AD State, Nigeria"
Komsiri Primary School,AD,Primary,Public,,,8.721094,12.057897,ADSJAD09,"Komsiri Primary School, AD State, Nigeria"
Garin Alhaji Primary School,AD,Primary,Public,,,9.2508795,12.9062685,ADSFUR04,"Garin Alhaji Primary School, AD State, Nigeria"
Global City Academy,AD,Primary,Private,,,10.264252,13.259822,ADSGYL06,"Global City Academy, AD State, Nigeria"
Solid Step Foundation Nursery and Primary School,AD,Primary,Private,,,10.311223,13.155081,ADSHNG09,"Solid Step Foundation Nursery and Primary School, AD State, Nigeria"
LGEA Primary School Goyekizza,AD,Primary,Public,,,9.634906,11.5926939,ADSLMR06,"LGEA Primary School Goyekizza, AD State, Nigeria"
Majalisa Primary School,AD,Primary,Public,,,9.276919,12.460777,ADSYLN04,"Majalisa Primary School, AD State, Nigeria"
Namjo Primary School,AD,Primary,Public,,,9.064821,12.000136,ADSMWA12,"Namjo Primary School, AD State, Nigeria"
Dolom Primary School Dolom,AD,Primary,Public,,,9.806687,12.339916,ADSSNG01,"Dolom Primary School Dolom, AD State, Nigeria"
Sabongari Primary School,AD,Primary,Public,,,9.334522,12.50772,ADSGRE04,"Sabongari Primary School, AD State, Nigeria"
Kerau II Primary School,AD,Primary,Public,,,9.697797,11.903565,ADSGUY08,"Kerau II Primary School, AD State, Nigeria"
Gangworen Primary School,AD,Primary,Public,,,8.28709,11.791155,ADSTNG01,"Gangworen Primary School, AD State, Nigeria"
Wammi LGEA Primary School,AD,Primary,Public,,,9.629905,11.724167,ADSLMR06,"Wammi LGEA Primary School, AD State, Nigeria"
Kanzul Islamic Nursery and Primary School,AD,Primary,Private,,,9.199367,12.485384,ADSYLA10,"Kanzul Islamic Nursery and Primary School, AD State, Nigeria"
Buzza Nursery School,AD,Primary,Private,,,10.1763589,12.8162235,ADSHNG11,"Buzza Nursery School, AD State, Nigeria"
Filingo Primary School,AD,Primary,Public,,,9.243502,12.873201,ADSFUR04,"Filingo Primary School, AD State, Nigeria"
Manuf Nursery and Primary School,AD,Primary,Public,,,9.495553,12.580075,ADSGRE10,"Manuf Nursery and Primary School, AD State, Nigeria"
Kirchinga Central Primary School,AD,Primary,Public,,,10.782167,13.350675,ADSMDG05,"Kirchinga Central Primary School, AD State, Nigeria"
Jarandi Leko Primary School,AD,Primary,Public,,,8.665856,12.304192,ADSJAD06,"Jarandi Leko Primary School, AD State, Nigeria"
Dong II Primary School,AD,Primary,Public,,,9.402843,11.910613,ADSDSA05,"Dong II Primary School, AD State, Nigeria"
Kautel Primary School,AD,Primary,Public,,,10.119921,13.173104,ADSMAH07,"Kautel Primary School, AD State, Nigeria"
Gangnai Primary School,AD,Primary,Public,,,8.753427,12.091731,ADSJAD08,"Gangnai Primary School, AD State, Nigeria"
Dageri Gada Primary School,AD,Primary,Public,,,8.696028,12.238046,ADSJAD10,"Dageri Gada Primary School, AD State, Nigeria"
Old Government Reserved Area Primary School,AD,Primary,Public,,,9.26565,12.457309,ADSYLN02,"Old Government Reserved Area Primary School, AD State, Nigeria"
Wuro Mango Primary School,AD,Primary,Public,,,9.2986647,12.8211586,ADSFUR08,"Wuro Mango Primary School, AD State, Nigeria"
Dumne B Primary School Dumne,AD,Primary,Public,,,9.790244,12.393773,ADSSNG02,"Dumne B Primary School Dumne, AD State, Nigeria"
Mbachure Primary School,AD,Primary,Public,,,9.248376,12.426147,ADSYLN06,"Mbachure Primary School, AD State, Nigeria"
Nasarawo I Primary School,AD,Primary,Public,,,9.442731,12.041147,ADSDSA10,"Nasarawo I Primary School, AD State, Nigeria"
Heritage Academy Nursery and Primary School Jamkise,AD,Primary,Private,,,9.9965324,11.8988939,ADSGUY02,"Heritage Academy Nursery and Primary School Jamkise, AD State, Nigeria"
Capital Nursery and Primary School,AD,Primary,Public,,,9.277476,12.431383,ADSYLN09,"Capital Nursery and Primary School, AD State, Nigeria"
Frontier International,AD,Primary,Private,,,10.118958,12.699814,ADSGMB09,"Frontier International, AD State, Nigeria"
Kolere Nursery Primary School,AD,Primary,Public,,,10.269412,13.276342,ADSMUB04,"Kolere Nursery Primary School, AD State, Nigeria"
Goduwo Primary School,AD,Primary,Public,,,9.399367,12.31027,ADSYLA09,"Goduwo Primary School, AD State, Nigeria"
Linga Primary School,AD,Primary,Public,,,9.505788,12.123629,ADSDSA04,"Linga Primary School, AD State, Nigeria"
Kuna Vinde,AD,Primary,Public,,,10.144601,13.173407,ADSMAH02,"Kuna Vinde, AD State, Nigeria"
Primary School Holma,AD,Primary,Public,,,9.90186,13.054879,ADSSNG11,"Primary School Holma, AD State, Nigeria"
Wuro Alhaji Yahya Primary School,AD,Primary,Public,,,8.6261246,12.382883,ADSJAD11,"Wuro Alhaji Yahya Primary School, AD State, Nigeria"
Mwanayari I Primary School,AD,Primary,Public,,,9.624016,11.79862,ADSLMR04,"Mwanayari I Primary School, AD State, Nigeria"
Boshikiri Primary School,AD,Primary,Public,,,9.649007,11.834696,ADSGUY06,"Boshikiri Primary School, AD State, Nigeria"
Boyu Primary School,AD,Primary,Public,,,8.712139,11.887755,ADSMWA02,"Boyu Primary School, AD State, Nigeria"
Kongoli Primary School,AD,Primary,Public,,,9.791717,13.106109,ADSMAH09,"Kongoli Primary School, AD State, Nigeria"
Naya Primary School,AD,Primary,Public,,,8.158576,11.928613,ADSTNG04,"Naya Primary School, AD State, Nigeria"
Lainde Primary School,AD,Primary,Public,,,10.057758,13.165414,ADSMAH06,"Lainde Primary School, AD State, Nigeria"
Kuba Banga Primary School,AD,Primary,Public,,,9.850289,12.443336,ADSSNG03,"Kuba Banga Primary School, AD State, Nigeria"
Gazha Primary School,AD,Primary,Public,,,10.432858,13.428123,ADSMUB07,"Gazha Primary School, AD State, Nigeria"
Murkunchi Primary School,AD,Primary,Public,,,10.154167,13.117454,ADSMAH02,"Murkunchi Primary School, AD State, Nigeria"
Njoboli Primary School,AD,Primary,Public,,,9.2037,12.587579,ADSYLA06,"Njoboli Primary School, AD State, Nigeria"
Pupah Primary School,AD,Primary,Public,,,9.821941,12.162029,ADSSHG01,"Pupah Primary School, AD State, Nigeria"
Gidan Bagobiri Normadic Primary School,AD,Primary,Public,,,8.787111,12.059851,ADSJAD08,"Gidan Bagobiri Normadic Primary School, AD State, Nigeria"
Sabon Gari Primary School,AD,Primary,Public,,,9.334382,12.50795,ADSGRE04,"Sabon Gari Primary School, AD State, Nigeria"
Lutheran Primary School,AD,Primary,Private,,,9.906704,11.927462,ADSGUY07,"Lutheran Primary School, AD State, Nigeria"
Mango Primary School,AD,Primary,Public,,,10.728781,13.625266,ADSMDG10,"Mango Primary School, AD State, Nigeria"
Lar Primary School,AD,Primary,Public,,,10.405915,12.84936,ADSHNG03,"Lar Primary School, AD State, Nigeria"
Gyemun Primary School,AD,Primary,Public,,,9.474624,11.737827,ADSNUM10,"Gyemun Primary School, AD State, Nigeria"
Danubbi Primary School,AD,Primary,Public,,,8.484309,11.899347,ADSGAN05,"Danubbi Primary School, AD State, Nigeria"
Garfite Primary School Garfite,AD,Primary,Public,,,10.254192,12.572994,ADSGMB09,"Garfite Primary School Garfite, AD State, Nigeria"
Kwapukai Primary School,AD,Primary,Public,,,9.530196,12.009444,ADSNUM04,"Kwapukai Primary School, AD State, Nigeria"
Kanza Primary School,AD,Primary,Public,,,10.55545,13.389633,ADSMCH14,"Kanza Primary School, AD State, Nigeria"
Humra Primary School,AD,Primary,Public,,,10.018186,12.222019,ADSGMB02,"Humra Primary School, AD State, Nigeria"
Central Model Primary School,AD,Primary,Public,,,10.888646,13.630956,ADSMDG06,"Central Model Primary School, AD State, Nigeria"
Hutu Primary Shcool,AD,Primary,Public,,,9.995397,12.251006,ADSGMB02,"Hutu Primary Shcool, AD State, Nigeria"
Mbamba II Primary School,AD,Primary,Public,,,9.178171,12.540931,ADSYLA06,"Mbamba II Primary School, AD State, Nigeria"
Loh Primary School,AD,Primary,Public,,,9.500123,12.106305,ADSDSA04,"Loh Primary School, AD State, Nigeria"
Jabajaba Primary School,AD,Primary,Public,,,9.977392,13.226743,ADSMAH04,"Jabajaba Primary School, AD State, Nigeria"
Ibrahim Attah Memorial School,AD,Primary,Private,,,9.282318,12.46055,ADSYLN07,"Ibrahim Attah Memorial School, AD State, Nigeria"
Gban Primary School Gban,AD,Primary,Public,,,9.83096,12.267469,ADSSNG01,"Gban Primary School Gban, AD State, Nigeria"
Jallongo Tara Primary School,AD,Primary,Public,,,9.642025,13.14821,ADSMAH01,"Jallongo Tara Primary School, AD State, Nigeria"
Gangtaren Primary School,AD,Primary,Public,,,8.437543,11.65938,ADSTNG01,"Gangtaren Primary School, AD State, Nigeria"
Chika Primary School Chika,AD,Primary,Public,,,10.55234,13.38102,ADSMCH14,"Chika Primary School Chika, AD State, Nigeria"
Fawaire Primary School,AD,Primary,Public,,,9.46818,12.392133,ADSGRE03,"Fawaire Primary School, AD State, Nigeria"
Gudumiya Primary School,AD,Primary,Public,,,10.190196,12.790321,ADSHNG06,"Gudumiya Primary School, AD State, Nigeria"
Wom Bah Primary School,AD,Primary,Public,,,8.936844,12.339775,ADSFUR11,"Wom Bah Primary School, AD State, Nigeria"
Guyuk II Primary School,AD,Primary,Public,,,9.904464,11.945115,ADSGUY07,"Guyuk II Primary School, AD State, Nigeria"
Suzuwa Primary School,AD,Primary,Public,,,10.488957,13.349338,ADSMUB02,"Suzuwa Primary School, AD State, Nigeria"
Daksiri Tiding Primary School,AD,Primary,Public,,,10.132859,12.962836,ADSHNG02,"Daksiri Tiding Primary School, AD State, Nigeria"
Numan I Primary School,AD,Primary,Public,,,9.455586,12.020856,ADSNUM06,"Numan I Primary School, AD State, Nigeria"
Gundo Primary School,AD,Primary,Public,,,9.700052,12.02766,ADSSHG03,"Gundo Primary School, AD State, Nigeria"
Kolere Primary School,AD,Primary,Public,,,8.827724,12.170919,ADSJAD08,"Kolere Primary School, AD State, Nigeria"
Ambassador Dahiru A Waziri Nursry and Primary School,AD,Primary,Private,,,9.2120741,12.4778817,ADSYLA05,"Ambassador Dahiru A Waziri Nursry and Primary School, AD State, Nigeria"
Model Islamiya Primary School,AD,Primary,Private,,,8.757033,12.15144,ADSJAD02,"Model Islamiya Primary School, AD State, Nigeria"
Wuro Yumbe Primary School,AD,Primary,Public,,,9.132674,12.112769,ADSMWA09,"Wuro Yumbe Primary School, AD State, Nigeria"
Sili Tudu II Primary School,AD,Primary,Public,,,9.766731,11.865705,ADSGUY04,"Sili Tudu II Primary School, AD State, Nigeria"
Hamdalla Pramary School,AD,Primary,Public,,,9.310621,12.658832,ADSFUR07,"Hamdalla Pramary School, AD State, Nigeria"
Kodomun Primary School,AD,Primary,Public,,,9.458519,12.223026,ADSDSA03,"Kodomun Primary School, AD State, Nigeria"
Kunliro Primary School,AD,Primary,Public,,,9.460037,12.198679,ADSDSA03,"Kunliro Primary School, AD State, Nigeria"
Lokoro Primary School,AD,Primary,Public,,,9.856338,11.932763,ADSGUY09,"Lokoro Primary School, AD State, Nigeria"
St Patrick Primary,AD,Primary,Private,,,9.471747,12.03841,ADSDSA10,"St Patrick Primary, AD State, Nigeria"
Hozzycal Nursery and Primary School,AD,Primary,Private,,,9.535305,11.610129,ADSLMR09,"Hozzycal Nursery and Primary School, AD State, Nigeria"
Banjiram III Primary School,AD,Primary,Public,,,9.819442,11.982595,ADSGUY01,"Banjiram III Primary School, AD State, Nigeria"
Jifan Primary School,AD,Primary,Public,,,9.553121,12.270981,ADSSNG09,"Jifan Primary School, AD State, Nigeria"
Ladi Samiyu Primary School,AD,Primary,Public,,,9.431679,11.621463,ADSNUM03,"Ladi Samiyu Primary School, AD State, Nigeria"
Lugga Primary School,AD,Primary,Public,,,9.2872605,12.634548,ADSGRE08,"Lugga Primary School, AD State, Nigeria"
Victory Nursery and Primary School,AD,Primary,Private,,,9.608746,11.79075,ADSLMR04,"Victory Nursery and Primary School, AD State, Nigeria"
Bai Primary School,AD,Primary,Public,,,8.978871,12.499929,ADSFUR09,"Bai Primary School, AD State, Nigeria"
Barkono Primary School,AD,Primary,Public,,,8.506554,12.313704,ADSJAD11,"Barkono Primary School, AD State, Nigeria"
Sabonlayi Primary School,AD,Primary,Public,,,10.896592,13.630737,ADSMDG06,"Sabonlayi Primary School, AD State, Nigeria"
Boburo Primary School,AD,Primary,Public,,,9.857547,12.043856,ADSSHG05,"Boburo Primary School, AD State, Nigeria"
Chakathla Nursery And Primary School Chakathla,AD,Primary,Public,,,10.680121,13.55453,ADSMDG07,"Chakathla Nursery And Primary School Chakathla, AD State, Nigeria"
Mayo Lope Primary School,AD,Primary,Public,,,9.242396,11.682808,ADSDSA08,"Mayo Lope Primary School, AD State, Nigeria"
Burah Vango Primary School,AD,Primary,Public,,,10.265326,13.475392,ADSMUB01,"Burah Vango Primary School, AD State, Nigeria"
Wuro Iya Primary School,AD,Primary,Public,,,9.956942,13.227795,ADSMAH10,"Wuro Iya Primary School, AD State, Nigeria"
Wurokawu Primary School,AD,Primary,Public,,,10.049059,13.117805,ADSMAH05,"Wurokawu Primary School, AD State, Nigeria"
Lady of Mount Carmel,AD,Primary,Private,,,10.738622,13.409614,ADSMDG02,"Lady of Mount Carmel, AD State, Nigeria"
